skill
python
sql
fastapi
pandas
numpy
matplotlib
scikit-learn
tensorflow
aws
google cloud
azure
docker
postgresql
langchain
machine learning
flutter
dart
c++
c
git
github
sqlalchemy
jupyter
vscode
data structures and algorithms
cybersecurity
django
flask
seaborn
pytorch
opencv
devops
web development
web3
app development
mobile
ios
java
c#
backend development
api
