degree
bachelor of technology
btech
bachelor of engineering
be
bachelor of science
bs
bsc
bachelor of computer applications
bca
bachelor of arts
ba
bachelor of commerce
bcom
master of technology
mtech
master of engineering
me
master of science
ms
msc
master of computer applications
mca
master of business administration
mba
doctor of philosophy
phd
diploma
polytechnic
